,account,post,follower,follow,open_account,official_account,image_love,image_comment,video_love,video_comment,igtv_love,igtv_comment,ER,active_rate
169,https://instagram.com/theorohaejung,17105,88054,1333,1,0,151,12,5207,16,0,0,0.18511368,7.894736842
170,https://instagram.com/pinksecret85,12589,145547,464,1,0,392,23,7909,42,13750,14,0.285131263,5.852417303
171,https://instagram.com/ysubini,715,206426,179,1,0,6117,21,30500,19,0,0,2.973462645,0.343249428
172,https://instagram.com/mint_factory.1004,505,70249,375,1,0,1884,9,5901,2,0,0,2.69470028,0.477453581
173,https://instagram.com/___solvely___,260,392266,203,1,0,8771,42,0,0,0,0,2.246689746,0.47879617
174,https://instagram.com/louis0387,2529,124125,1165,1,0,716,4,4867,4,0,0,0.580060423,0.557880056
175,https://instagram.com/luv_jayne,994,156951,567,1,0,9327,29,4893,6,0,0,5.961096138,0.310891938
176,https://instagram.com/yonyonyxx,1263,161413,277,1,0,4233,28,0,0,0,0,2.639812159,0.661313179
177,https://instagram.com/love_boki,10378,145656,705,1,0,530,10,0,0,0,0,0.37073653,1.883239171
178,https://instagram.com/atoi_jihyo,725,93960,285,1,0,365,25,0,0,0,0,0.415070243,6.830601093
179,https://instagram.com/laun_kr,4128,184296,885,1,0,1310,214,0,0,0,0,0.82693059,16.32341724
180,https://instagram.com/heizlemakeup,1099,186400,379,1,1,5766,66,19650,48,0,0,3.128755365,1.144442518
181,https://instagram.com/ddimmi96,460,194951,247,1,0,4821,68,9994,78,0,0,2.507809655,1.410203235
182,https://instagram.com/y_unanaa,4037,68995,225,1,0,1810,77,18400,26,0,0,2.734980796,4.251794589
183,https://instagram.com/ahk0925,1316,110228,661,1,0,1071,96,0,0,0,0,1.058714664,8.955223881
184,https://instagram.com/moonguiyoung,2717,108936,415,1,0,644,7,0,0,0,0,0.59759859,1.085271318
185,https://instagram.com/ecom0920,2522,95189,399,1,0,300,27,6902,33,0,0,0.343527088,8.970099668
186,https://instagram.com/akaribeauty7,2755,155370,356,1,0,26754,9534,54750,974,0,0,23.3558602,35.63446085
188,https://instagram.com/hinzajoa,4467,280776,432,1,0,382,6,1048,3,0,0,0.138188449,1.566579634
189,https://instagram.com/mamondekorea,964,205248,7,1,1,1318,89,9533,70,0,0,0.685512161,6.747536012
190,https://instagram.com/lxoxoee,119,223878,141,1,0,5296,24,0,0,0,0,2.376294232,0.453086653
191,https://instagram.com/sjingg_,1069,72815,275,1,1,898,101,19110,88,0,0,1.371970061,11.23470523
192,https://instagram.com/yoon__bling,2349,71954,304,1,0,569,37,0,0,0,0,0.842204742,6.49122807
193,https://instagram.com/dd.mini,2837,122543,617,1,0,1858,84,29033,133,16900,30,1.584749843,4.518558365
194,https://instagram.com/he1.da,287,210700,81,1,0,7149,169,0,0,0,0,3.473184623,2.363636364
195,https://instagram.com/6_21ds,165,155663,449,1,0,8959,60,36800,68,0,0,5.793926624,0.669642857
196,https://instagram.com/woohye0n,58,694273,403,1,1,12625,106,82767,78,0,0,1.833716708,0.839537462
197,https://instagram.com/mona_monanim,269,192200,108,1,0,13022,28,202150,80,222000,58,6.789802289,0.215004223
198,https://instagram.com/kimzayoung,743,178676,441,1,0,611,5,1703,8,0,0,0.34475811,0.816993464
199,https://instagram.com/mozzi.00,1002,121208,394,1,0,370,7,7932,9,0,0,0.311035575,1.886792453
200,https://instagram.com/minami.riho,227,101301,149,1,0,10985,52,0,0,0,0,10.89525276,0.473329692
201,https://instagram.com/arjenia,4680,169583,2,1,0,4896,33,24190,91,0,0,2.90654134,0.673881969
202,https://instagram.com/l.h.mom,352,140503,180,1,1,4044,52,9128,31,0,0,2.915240244,1.285537701
